cod_id,formula,cluster_id,mp_e_form_per_atom,mp_e_above_hull
1000017,Al2O3,0,-3.426551008,0.0
1000032,Al2O3,0,-3.426551008,0.0
1000059,Al2O3,0,-3.426551008,0.0
1000442,Al2O3,1,-3.426551008,0.0
1000110,AlF3,2,-3.86576940625,0.0
1000238,AlF3,1,-3.86576940625,0.0
1000467,AlF3,0,-3.86576940625,0.0
1000198,AlTlF4,0,-3.2540289300000023,0.0
1000221,AlTlF4,0,-3.2540289300000023,0.0
1000222,AlTlF4,0,-3.2540289300000023,0.0
1000407,AlTlF4,1,-3.2540289300000023,0.0
1000408,AlTlF4,1,-3.2540289300000023,0.0
1000409,AlTlF4,2,-3.2540289300000023,0.0
1000410,AlTlF4,2,-3.2540289300000023,0.0
1000150,Ba2ZrF8,0,-4.161155802954545,0.0
1000151,Ba2ZrF8,0,-4.161155802954545,0.0
1000152,Ba2ZrF8,0,-4.161155802954545,0.0
1000153,Ba2ZrF8,1,-4.161155802954545,0.0
1000104,Ba3AlF9,1,-4.097918263846154,0.005861223750003
1000288,Ba3AlF9,2,-4.097918263846154,0.005861223750003
1000329,Ba3AlF9,0,-4.097918263846154,0.005861223750003
1000129,BaAlF5,2,-4.044061821071429,0.0
1000130,BaAlF5,1,-4.044061821071429,0.0
1000131,BaAlF5,0,-4.044061821071429,0.0
1000007,CaMg(SiO3)2,2,-3.343864678,0.0
1000008,CaMg(SiO3)2,2,-3.343864678,0.0
1000009,CaMg(SiO3)2,0,-3.343864678,0.0
1000010,CaMg(SiO3)2,0,-3.343864678,0.0
1000011,CaMg(SiO3)2,0,-3.343864678,0.0
1000012,CaMg(SiO3)2,1,-3.343864678,0.0
1000013,CaMg(SiO3)2,1,-3.343864678,0.0
1000014,CaMg(SiO3)2,1,-3.343864678,0.0
1000015,CaMg(SiO3)2,1,-3.343864678,0.0
1000016,CaMg(SiO3)2,1,-3.343864678,0.0
1000404,Fe2H4O2F5,1,-1.995273671923077,0.00832864012821
1000405,Fe2H4O2F5,2,-1.995273671923077,0.00832864012821
1000406,Fe2H4O2F5,0,-1.995273671923077,0.00832864012821
1000166,KAlF4,0,-3.648254212874994,0.0
1000125,KAlF4,0,-3.648254212874994,0.0
1000126,KAlF4,0,-3.648254212874994,0.0
1000127,KAlF4,0,-3.648254212874994,0.0
1000207,KAlF4,0,-3.648254212874994,0.0
1000208,KAlF4,1,-3.648254212874994,0.0
1000307,LaNiO3,0,-2.472384724499998,0.0
1000308,LaNiO3,0,-2.472384724499998,0.0
1000309,LaNiO3,0,-2.472384724499998,0.0
1000310,LaNiO3,1,-2.472384724499998,0.0
1000073,Li3ThF7,0,-3.555880871931816,0.209163741590908
1000074,Li3ThF7,0,-3.555880871931816,0.209163741590908
1000366,Li3ThF7,2,-3.555880871931816,0.209163741590908
1000365,Li3ThF7,2,-3.555880871931816,0.209163741590908
1000367,Li3ThF7,1,-3.555880871931816,0.209163741590908
1000368,Li3ThF7,1,-3.555880871931816,0.209163741590908
1000184,LiMnFeF6,1,-2.881047644584929,0.0
1000185,LiMnFeF6,0,-2.881047644584929,0.0
1000186,LiMnFeF6,0,-2.881047644584929,0.0
1000068,LiNbWO6,0,-2.5708851625925933,0.013673802361116
1000069,LiNbWO6,0,-2.5708851625925933,0.013673802361116
1000070,LiNbWO6,1,-2.5708851625925933,0.013673802361116
1000158,MnCrF5,1,-2.99918572899015,0.009525761071427
1000159,MnCrF5,0,-2.99918572899015,0.009525761071427
1000160,MnCrF5,0,-2.99918572899015,0.009525761071427
1000257,Na2FeNiF7,1,-2.708318773887147,0.0
1000258,Na2FeNiF7,0,-2.708318773887147,0.0
1000259,Na2FeNiF7,0,-2.708318773887147,0.0
1000243,NbFeF6,1,-2.9860387975,0.020374104291666
1000244,NbFeF6,1,-2.9860387975,0.020374104291666
1000245,NbFeF6,0,-2.9860387975,0.020374104291666
1000246,NbFeF6,0,-2.9860387975,0.020374104291666
1000303,NdNiO3,3,-2.425266711,0.0
1000315,NdNiO3,0,-2.425266711,0.0
1000316,NdNiO3,0,-2.425266711,0.0
1000317,NdNiO3,2,-2.425266711,0.0
1000318,NdNiO3,1,-2.425266711,0.0
1000290,PrNiO3,2,-2.406667594333332,0.0
1000291,PrNiO3,0,-2.406667594333332,0.0
1000292,PrNiO3,0,-2.406667594333332,0.0
1000293,PrNiO3,1,-2.406667594333332,0.0
1000294,PrNiO3,1,-2.406667594333332,0.0
1000301,PrNiO3,2,-2.406667594333332,0.0
1000302,PrNiO3,2,-2.406667594333332,0.0
1000311,PrNiO3,2,-2.406667594333332,0.0
1000312,PrNiO3,2,-2.406667594333332,0.0
1000313,PrNiO3,2,-2.406667594333332,0.0
1000314,PrNiO3,2,-2.406667594333332,0.0
1000175,RbAlF4,1,-3.637255926416667,0.0
1000496,RbAlF4,0,-3.637255926416667,0.0
1000453,RbAlF4,0,-3.637255926416667,0.0
1000454,RbAlF4,0,-3.637255926416667,0.0
1000455,RbAlF4,0,-3.637255926416667,0.0
1000456,RbAlF4,2,-3.637255926416667,0.0
1000457,RbAlF4,2,-3.637255926416667,0.0
