formula,cluster_id,n_members,n_with_e_form,n_with_e_hull,mean_e_form,median_e_form,min_e_form,max_e_form,mean_e_hull,median_e_hull,min_e_hull,max_e_hull,delta_mean_e_form_to_min,delta_mean_e_hull_to_min
Al2O3,0,3,3,3,-3.426551008,-3.426551008,-3.426551008,-3.426551008,0.0,0.0,0.0,0.0,0.0,0.0
Al2O3,1,1,1,1,-3.426551008,-3.426551008,-3.426551008,-3.426551008,0.0,0.0,0.0,0.0,0.0,0.0
AlF3,0,1,1,1,-3.86576940625,-3.86576940625,-3.86576940625,-3.86576940625,0.0,0.0,0.0,0.0,0.0,0.0
AlF3,1,1,1,1,-3.86576940625,-3.86576940625,-3.86576940625,-3.86576940625,0.0,0.0,0.0,0.0,0.0,0.0
AlF3,2,1,1,1,-3.86576940625,-3.86576940625,-3.86576940625,-3.86576940625,0.0,0.0,0.0,0.0,0.0,0.0
AlTlF4,0,3,3,3,-3.2540289300000023,-3.2540289300000023,-3.2540289300000023,-3.2540289300000023,0.0,0.0,0.0,0.0,0.0,0.0
AlTlF4,1,2,2,2,-3.2540289300000023,-3.2540289300000023,-3.2540289300000023,-3.2540289300000023,0.0,0.0,0.0,0.0,0.0,0.0
AlTlF4,2,2,2,2,-3.2540289300000023,-3.2540289300000023,-3.2540289300000023,-3.2540289300000023,0.0,0.0,0.0,0.0,0.0,0.0
Ba2ZrF8,0,3,3,3,-4.161155802954545,-4.161155802954545,-4.161155802954545,-4.161155802954545,0.0,0.0,0.0,0.0,0.0,0.0
Ba2ZrF8,1,1,1,1,-4.161155802954545,-4.161155802954545,-4.161155802954545,-4.161155802954545,0.0,0.0,0.0,0.0,0.0,0.0
Ba3AlF9,0,1,1,1,-4.097918263846154,-4.097918263846154,-4.097918263846154,-4.097918263846154,0.005861223750003,0.005861223750003,0.005861223750003,0.005861223750003,0.0,0.0
Ba3AlF9,1,1,1,1,-4.097918263846154,-4.097918263846154,-4.097918263846154,-4.097918263846154,0.005861223750003,0.005861223750003,0.005861223750003,0.005861223750003,0.0,0.0
Ba3AlF9,2,1,1,1,-4.097918263846154,-4.097918263846154,-4.097918263846154,-4.097918263846154,0.005861223750003,0.005861223750003,0.005861223750003,0.005861223750003,0.0,0.0
BaAlF5,0,1,1,1,-4.044061821071429,-4.044061821071429,-4.044061821071429,-4.044061821071429,0.0,0.0,0.0,0.0,0.0,0.0
BaAlF5,1,1,1,1,-4.044061821071429,-4.044061821071429,-4.044061821071429,-4.044061821071429,0.0,0.0,0.0,0.0,0.0,0.0
BaAlF5,2,1,1,1,-4.044061821071429,-4.044061821071429,-4.044061821071429,-4.044061821071429,0.0,0.0,0.0,0.0,0.0,0.0
CaMg(SiO3)2,0,3,3,3,-3.3438646780000005,-3.343864678,-3.343864678,-3.343864678,0.0,0.0,0.0,0.0,0.0,0.0
CaMg(SiO3)2,1,5,5,5,-3.343864678,-3.343864678,-3.343864678,-3.343864678,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
CaMg(SiO3)2,2,2,2,2,-3.343864678,-3.343864678,-3.343864678,-3.343864678,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0
Fe2H4O2F5,0,1,1,1,-1.995273671923077,-1.995273671923077,-1.995273671923077,-1.995273671923077,0.00832864012821,0.00832864012821,0.00832864012821,0.00832864012821,0.0,0.0
Fe2H4O2F5,1,1,1,1,-1.995273671923077,-1.995273671923077,-1.995273671923077,-1.995273671923077,0.00832864012821,0.00832864012821,0.00832864012821,0.00832864012821,0.0,0.0
Fe2H4O2F5,2,1,1,1,-1.995273671923077,-1.995273671923077,-1.995273671923077,-1.995273671923077,0.00832864012821,0.00832864012821,0.00832864012821,0.00832864012821,0.0,0.0
